Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Austria,AT,,,,47.52,14.55,2,confirmed,2020-02-25T00:00:00Z
Austria,AT,,,,47.52,14.55,2,confirmed,2020-02-26T00:00:00Z
Austria,AT,,,,47.52,14.55,3,confirmed,2020-02-27T00:00:00Z
Austria,AT,,,,47.52,14.55,3,confirmed,2020-02-28T00:00:00Z
Austria,AT,,,,47.52,14.55,9,confirmed,2020-02-29T00:00:00Z
Austria,AT,,,,47.52,14.55,14,confirmed,2020-03-01T00:00:00Z
Austria,AT,,,,47.52,14.55,18,confirmed,2020-03-02T00:00:00Z
Austria,AT,,,,47.52,14.55,21,confirmed,2020-03-03T00:00:00Z
Austria,AT,,,,47.52,14.55,29,confirmed,2020-03-04T00:00:00Z
Austria,AT,,,,47.52,14.55,41,confirmed,2020-03-05T00:00:00Z
Austria,AT,,,,47.52,14.55,55,confirmed,2020-03-06T00:00:00Z
Austria,AT,,,,47.52,14.55,79,confirmed,2020-03-07T00:00:00Z
Austria,AT,,,,47.52,14.55,104,confirmed,2020-03-08T00:00:00Z
Austria,AT,,,,47.52,14.55,131,confirmed,2020-03-09T00:00:00Z
Austria,AT,,,,47.52,14.55,182,confirmed,2020-03-10T00:00:00Z
Austria,AT,,,,47.52,14.55,246,confirmed,2020-03-11T00:00:00Z
Austria,AT,,,,47.52,14.55,302,confirmed,2020-03-12T00:00:00Z
Austria,AT,,,,47.52,14.55,504,confirmed,2020-03-13T00:00:00Z
Austria,AT,,,,47.52,14.55,655,confirmed,2020-03-14T00:00:00Z
Austria,AT,,,,47.52,14.55,860,confirmed,2020-03-15T00:00:00Z
Austria,AT,,,,47.52,14.55,1018,confirmed,2020-03-16T00:00:00Z
Austria,AT,,,,47.52,14.55,1332,confirmed,2020-03-17T00:00:00Z
Austria,AT,,,,47.52,14.55,1646,confirmed,2020-03-18T00:00:00Z
Austria,AT,,,,47.52,14.55,2013,confirmed,2020-03-19T00:00:00Z
Austria,AT,,,,47.52,14.55,2388,confirmed,2020-03-20T00:00:00Z
Austria,AT,,,,47.52,14.55,2814,confirmed,2020-03-21T00:00:00Z
Austria,AT,,,,47.52,14.55,3582,confirmed,2020-03-22T00:00:00Z
Austria,AT,,,,47.52,14.55,4474,confirmed,2020-03-23T00:00:00Z
Austria,AT,,,,47.52,14.55,5283,confirmed,2020-03-24T00:00:00Z
Austria,AT,,,,47.52,14.55,5588,confirmed,2020-03-25T00:00:00Z
Austria,AT,,,,47.52,14.55,6909,confirmed,2020-03-26T00:00:00Z
Austria,AT,,,,47.52,14.55,7657,confirmed,2020-03-27T00:00:00Z
Austria,AT,,,,47.52,14.55,8271,confirmed,2020-03-28T00:00:00Z
Austria,AT,,,,47.52,14.55,8788,confirmed,2020-03-29T00:00:00Z
Austria,AT,,,,47.52,14.55,9618,confirmed,2020-03-30T00:00:00Z
Austria,AT,,,,47.52,14.55,10180,confirmed,2020-03-31T00:00:00Z
Austria,AT,,,,47.52,14.55,10711,confirmed,2020-04-01T00:00:00Z
Austria,AT,,,,47.52,14.55,11129,confirmed,2020-04-02T00:00:00Z
Austria,AT,,,,47.52,14.55,11524,confirmed,2020-04-03T00:00:00Z
Austria,AT,,,,47.52,14.55,11781,confirmed,2020-04-04T00:00:00Z
Austria,AT,,,,47.52,14.55,12051,confirmed,2020-04-05T00:00:00Z
Austria,AT,,,,47.52,14.55,12297,confirmed,2020-04-06T00:00:00Z
Austria,AT,,,,47.52,14.55,12639,confirmed,2020-04-07T00:00:00Z
Austria,AT,,,,47.52,14.55,12942,confirmed,2020-04-08T00:00:00Z
Austria,AT,,,,47.52,14.55,13244,confirmed,2020-04-09T00:00:00Z
Austria,AT,,,,47.52,14.55,13555,confirmed,2020-04-10T00:00:00Z
Austria,AT,,,,47.52,14.55,13806,confirmed,2020-04-11T00:00:00Z
Austria,AT,,,,47.52,14.55,13945,confirmed,2020-04-12T00:00:00Z
Austria,AT,,,,47.52,14.55,14041,confirmed,2020-04-13T00:00:00Z
Austria,AT,,,,47.52,14.55,14226,confirmed,2020-04-14T00:00:00Z
Austria,AT,,,,47.52,14.55,14336,confirmed,2020-04-15T00:00:00Z
Austria,AT,,,,47.52,14.55,14476,confirmed,2020-04-16T00:00:00Z
Austria,AT,,,,47.52,14.55,14595,confirmed,2020-04-17T00:00:00Z
Austria,AT,,,,47.52,14.55,14671,confirmed,2020-04-18T00:00:00Z
Austria,AT,,,,47.52,14.55,14749,confirmed,2020-04-19T00:00:00Z
Austria,AT,,,,47.52,14.55,14795,confirmed,2020-04-20T00:00:00Z
Austria,AT,,,,47.52,14.55,14795,confirmed,2020-04-21T00:00:00Z
