Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Palestinian Territory,PS,,,,31.95,35.23,4,confirmed,2020-03-05T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,7,confirmed,2020-03-06T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,16,confirmed,2020-03-07T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,16,confirmed,2020-03-08T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,19,confirmed,2020-03-09T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,26,confirmed,2020-03-10T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,30,confirmed,2020-03-11T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,30,confirmed,2020-03-12T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,31,confirmed,2020-03-13T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,35,confirmed,2020-03-14T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,38,confirmed,2020-03-15T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,38,confirmed,2020-03-16T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,39,confirmed,2020-03-17T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,41,confirmed,2020-03-18T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,44,confirmed,2020-03-19T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,47,confirmed,2020-03-20T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,48,confirmed,2020-03-21T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,52,confirmed,2020-03-22T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,59,confirmed,2020-03-23T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,59,confirmed,2020-03-24T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,59,confirmed,2020-03-25T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,84,confirmed,2020-03-26T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,91,confirmed,2020-03-27T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,98,confirmed,2020-03-28T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,109,confirmed,2020-03-29T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,116,confirmed,2020-03-30T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,119,confirmed,2020-03-31T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,134,confirmed,2020-04-01T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,161,confirmed,2020-04-02T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,194,confirmed,2020-04-03T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,217,confirmed,2020-04-04T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,237,confirmed,2020-04-05T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,254,confirmed,2020-04-06T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,261,confirmed,2020-04-07T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,263,confirmed,2020-04-08T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,263,confirmed,2020-04-09T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,267,confirmed,2020-04-10T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,268,confirmed,2020-04-11T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,290,confirmed,2020-04-12T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,308,confirmed,2020-04-13T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,308,confirmed,2020-04-14T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,374,confirmed,2020-04-15T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,374,confirmed,2020-04-16T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,402,confirmed,2020-04-17T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,418,confirmed,2020-04-18T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,437,confirmed,2020-04-19T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,449,confirmed,2020-04-20T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,466,confirmed,2020-04-21T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,474,confirmed,2020-04-22T00:00:00Z
Palestinian Territory,PS,,,,31.95,35.23,474,confirmed,2020-04-23T00:00:00Z
