Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Uzbekistan,UZ,,,,41.38,64.59,1,confirmed,2020-03-15T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,6,confirmed,2020-03-16T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,10,confirmed,2020-03-17T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,15,confirmed,2020-03-18T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,23,confirmed,2020-03-19T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,33,confirmed,2020-03-20T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,43,confirmed,2020-03-21T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,43,confirmed,2020-03-22T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,46,confirmed,2020-03-23T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,50,confirmed,2020-03-24T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,60,confirmed,2020-03-25T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,75,confirmed,2020-03-26T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,88,confirmed,2020-03-27T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,104,confirmed,2020-03-28T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,144,confirmed,2020-03-29T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,149,confirmed,2020-03-30T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,172,confirmed,2020-03-31T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,181,confirmed,2020-04-01T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,205,confirmed,2020-04-02T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,227,confirmed,2020-04-03T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,266,confirmed,2020-04-04T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,342,confirmed,2020-04-05T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,457,confirmed,2020-04-06T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,520,confirmed,2020-04-07T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,545,confirmed,2020-04-08T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,582,confirmed,2020-04-09T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,624,confirmed,2020-04-10T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,767,confirmed,2020-04-11T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,865,confirmed,2020-04-12T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,998,confirmed,2020-04-13T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1165,confirmed,2020-04-14T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1302,confirmed,2020-04-15T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1349,confirmed,2020-04-16T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1405,confirmed,2020-04-17T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1490,confirmed,2020-04-18T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1565,confirmed,2020-04-19T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1627,confirmed,2020-04-20T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1678,confirmed,2020-04-21T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1716,confirmed,2020-04-22T00:00:00Z
Uzbekistan,UZ,,,,41.38,64.59,1716,confirmed,2020-04-23T00:00:00Z
