Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Belize,BZ,,,,17.19,-88.5,1,confirmed,2020-03-23T00:00:00Z
Belize,BZ,,,,17.19,-88.5,1,confirmed,2020-03-24T00:00:00Z
Belize,BZ,,,,17.19,-88.5,2,confirmed,2020-03-25T00:00:00Z
Belize,BZ,,,,17.19,-88.5,2,confirmed,2020-03-26T00:00:00Z
Belize,BZ,,,,17.19,-88.5,2,confirmed,2020-03-27T00:00:00Z
Belize,BZ,,,,17.19,-88.5,2,confirmed,2020-03-28T00:00:00Z
Belize,BZ,,,,17.19,-88.5,2,confirmed,2020-03-29T00:00:00Z
Belize,BZ,,,,17.19,-88.5,3,confirmed,2020-03-30T00:00:00Z
Belize,BZ,,,,17.19,-88.5,3,confirmed,2020-03-31T00:00:00Z
Belize,BZ,,,,17.19,-88.5,3,confirmed,2020-04-01T00:00:00Z
Belize,BZ,,,,17.19,-88.5,3,confirmed,2020-04-02T00:00:00Z
Belize,BZ,,,,17.19,-88.5,4,confirmed,2020-04-03T00:00:00Z
Belize,BZ,,,,17.19,-88.5,4,confirmed,2020-04-04T00:00:00Z
Belize,BZ,,,,17.19,-88.5,5,confirmed,2020-04-05T00:00:00Z
Belize,BZ,,,,17.19,-88.5,7,confirmed,2020-04-06T00:00:00Z
Belize,BZ,,,,17.19,-88.5,7,confirmed,2020-04-07T00:00:00Z
Belize,BZ,,,,17.19,-88.5,8,confirmed,2020-04-08T00:00:00Z
Belize,BZ,,,,17.19,-88.5,9,confirmed,2020-04-09T00:00:00Z
Belize,BZ,,,,17.19,-88.5,10,confirmed,2020-04-10T00:00:00Z
Belize,BZ,,,,17.19,-88.5,13,confirmed,2020-04-11T00:00:00Z
Belize,BZ,,,,17.19,-88.5,14,confirmed,2020-04-12T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-13T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-14T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-15T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-16T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-17T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-18T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-19T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-20T00:00:00Z
Belize,BZ,,,,17.19,-88.5,18,confirmed,2020-04-21T00:00:00Z
