Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-01T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-02T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-03T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-04T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-05T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-06T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-07T00:00:00Z
Spain,ES,,,,40.46,-3.75,1,confirmed,2020-02-08T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-09T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-10T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-11T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-12T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-13T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-14T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-15T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-16T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-17T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-18T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-19T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-20T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-21T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-22T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-23T00:00:00Z
Spain,ES,,,,40.46,-3.75,2,confirmed,2020-02-24T00:00:00Z
Spain,ES,,,,40.46,-3.75,6,confirmed,2020-02-25T00:00:00Z
Spain,ES,,,,40.46,-3.75,13,confirmed,2020-02-26T00:00:00Z
Spain,ES,,,,40.46,-3.75,15,confirmed,2020-02-27T00:00:00Z
Spain,ES,,,,40.46,-3.75,32,confirmed,2020-02-28T00:00:00Z
Spain,ES,,,,40.46,-3.75,45,confirmed,2020-02-29T00:00:00Z
Spain,ES,,,,40.46,-3.75,84,confirmed,2020-03-01T00:00:00Z
Spain,ES,,,,40.46,-3.75,120,confirmed,2020-03-02T00:00:00Z
Spain,ES,,,,40.46,-3.75,165,confirmed,2020-03-03T00:00:00Z
Spain,ES,,,,40.46,-3.75,222,confirmed,2020-03-04T00:00:00Z
Spain,ES,,,,40.46,-3.75,259,confirmed,2020-03-05T00:00:00Z
Spain,ES,,,,40.46,-3.75,400,confirmed,2020-03-06T00:00:00Z
Spain,ES,,,,40.46,-3.75,500,confirmed,2020-03-07T00:00:00Z
