Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Syrian Arab Republic (Syria),SY,,,,34.8,39,1,confirmed,2020-03-22T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,1,confirmed,2020-03-23T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,1,confirmed,2020-03-24T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,5,confirmed,2020-03-25T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,5,confirmed,2020-03-26T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,5,confirmed,2020-03-27T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,5,confirmed,2020-03-28T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,9,confirmed,2020-03-29T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,10,confirmed,2020-03-30T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,10,confirmed,2020-03-31T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,10,confirmed,2020-04-01T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,16,confirmed,2020-04-02T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,16,confirmed,2020-04-03T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,16,confirmed,2020-04-04T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,19,confirmed,2020-04-05T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,19,confirmed,2020-04-06T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,19,confirmed,2020-04-07T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,19,confirmed,2020-04-08T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,19,confirmed,2020-04-09T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,19,confirmed,2020-04-10T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,25,confirmed,2020-04-11T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,25,confirmed,2020-04-12T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,25,confirmed,2020-04-13T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,29,confirmed,2020-04-14T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,33,confirmed,2020-04-15T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,33,confirmed,2020-04-16T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,38,confirmed,2020-04-17T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,38,confirmed,2020-04-18T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,39,confirmed,2020-04-19T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,39,confirmed,2020-04-20T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,42,confirmed,2020-04-21T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,42,confirmed,2020-04-22T00:00:00Z
Syrian Arab Republic (Syria),SY,,,,34.8,39,42,confirmed,2020-04-23T00:00:00Z
